ID,Title,Year,Age,Rotten Tomatoes (out of 100),Netflix,Hulu,Prime Video,Disney+,Type
1,The Irishman,2019,18+,98,1,0,0,0,0
2,Dangal,2016,7+,97,1,0,0,0,0
3,David Attenborough: A Life on Our Planet,2020,7+,95,1,0,0,0,0
4,Lagaan: Once Upon a Time in India,2001,7+,94,1,0,0,0,0
5,Roma,2018,18+,94,1,0,0,0,0
6,To All the Boys I've Loved Before,2018,13+,94,1,0,0,0,0
7,The Social Dilemma,2020,13+,93,1,0,0,0,0
8,Okja,2017,13+,92,1,0,0,0,0
9,The Ballad of Buster Scruggs,2018,16+,92,1,0,0,0,0
10,The Trial of the Chicago 7,2020,18+,92,1,0,0,0,0
11,Article 15,2019,18+,92,1,0,0,0,0
12,"Jim & Andy: The Great Beyond- Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",2017,18+,92,1,0,0,0,0
13,Dolemite Is My Name,2019,18+,92,1,0,0,0,0
14,Mudbound,2017,18+,91,1,0,0,0,0
15,Swades,2004,all,91,1,0,0,0,0
16,Fyre,2019,18+,91,1,0,0,0,0
17,Miss Americana,2020,18+,90,1,0,0,0,0
18,Virunga,2014,16+,90,1,0,0,0,0
19,Black Friday,2004,18+,90,1,0,0,0,0
20,Talvar,2015,7+,90,1,0,0,0,0
21,The King,2019,18+,90,1,0,0,0,0
22,John Mulaney: Kid Gorgeous at Radio City,2018,18+,89,1,0,0,0,0
23,I Am Mother,2019,13+,89,1,0,0,0,0
24,Tell Me Who I Am,2019,18+,89,1,0,0,0,0
25,The Departed,2006,18+,89,1,0,0,0,0
26,Winter on Fire: Ukraine's Fight for Freedom,2015,16+,89,1,0,0,0,0
27,I Lost My Body,2019,18+,89,1,0,0,0,0
28,Django Unchained,2012,18+,89,1,0,0,0,0
29,The Half of It,2020,13+,89,1,0,0,0,0
30,The Boy Who Harnessed the Wind,2019,7+,89,1,0,0,0,0
31,The Devil All the Time,2020,18+,89,1,0,0,0,0
32,The Fundamentals of Caring,2016,18+,89,1,0,0,0,0
33,Pieces of a Woman,2020,18+,88,1,0,0,0,0
34,Gerald's Game,2017,18+,88,1,0,0,0,0
35,On Body and Soul,2017,,88,1,0,0,0,0
36,Shutter Island,2010,18+,88,1,0,0,0,0
37,Always Be My Maybe,2019,13+,88,1,0,0,0,0
38,The Intouchables,2011,7+,88,1,0,0,0,0
39,Bill Burr: Paper Tiger,2019,18+,87,1,0,0,0,0
40,Special 26,2013,,87,1,0,0,0,0
41,Kiss the Ground,2020,18+,87,1,0,0,0,0
42,Crip Camp: A Disability Revolution,2020,18+,87,1,0,0,0,0
43,Extraction,2020,18+,87,1,0,0,0,0
44,No Direction Home: Bob Dylan,2005,all,87,1,0,0,0,0
45,Kabhi Khushi Kabhie Gham,2001,all,87,1,0,0,0,0
46,His House,2020,16+,87,1,0,0,0,0
47,Super Deluxe,2019,18+,87,1,0,0,0,0
